Time, MEM, Virt, Res, SHR, CPU, free, swap
0:00.12, 0.4, 226712, 7420, 2928, 43.8, 1634.4, 730.6
0:00.67, 1.4, 245852, 26428, 2928, 81.2, 1614.6, 730.6
0:01.22, 2.4, 263672, 44116, 2928, 66.7, 1598.2, 730.6
0:01.74, 3.2, 280172, 60748, 2928, 62.5, 1581.4, 730.6
0:02.25, 4.2, 297464, 78172, 2928, 58.8, 1563.7, 730.6
0:02.79, 5.2, 315812, 96388, 2928, 64.7, 1544.2, 730.6
0:03.32, 6.1, 334028, 114604, 2928, 70.6, 1526.5, 730.6
0:03.81, 7.0, 350660, 131236, 2928, 52.9, 1509.6, 730.6
0:04.29, 7.9, 366764, 147340, 2928, 52.9, 1493.6, 730.6
0:04.77, 8.8, 383000, 163708, 2928, 58.8, 1478.2, 730.6
0:05.22, 9.6, 398180, 178756, 2928, 53.3, 1461.6, 730.6
0:05.69, 10.4, 414152, 194596, 2928, 58.8, 1445.6, 730.6
0:06.19, 11.3, 431180, 211756, 2928, 68.8, 1430.6, 730.6
0:06.64, 12.2, 446756, 227332, 2928, 53.3, 1415.5, 730.6
0:07.12, 13.0, 463124, 243700, 2928, 55.6, 1399.7, 730.6
0:07.61, 13.9, 480020, 260596, 2928, 62.5, 1381.8, 730.6
0:08.10, 14.8, 496256, 276700, 2928, 58.8, 1365.2, 730.6
0:08.54, 15.6, 510512, 290956, 2928, 62.5, 1351.5, 730.6
0:09.05, 16.5, 527936, 308380, 2928, 66.7, 1335.2, 730.6
0:09.54, 17.4, 545228, 325804, 2928, 52.9, 1318.1, 730.6
0:10.05, 18.3, 562652, 343228, 2928, 64.7, 1301.1, 730.6
0:10.51, 19.2, 578492, 359068, 2928, 60.0, 1286.1, 730.6
0:11.02, 20.2, 596312, 377020, 2928, 64.7, 1267.7, 730.6
0:11.55, 21.1, 614660, 395236, 2928, 66.7, 1248.6, 730.6
0:12.07, 22.0, 631556, 412132, 2928, 61.1, 1234.0, 730.6
0:12.59, 23.0, 649244, 429820, 2928, 61.1, 1216.5, 730.6
0:13.09, 23.9, 666404, 446980, 2928, 60.0, 1199.4, 730.6
0:13.59, 24.8, 683432, 463876, 2928, 68.8, 1183.2, 730.6
0:14.07, 25.7, 699668, 480244, 2928, 58.8, 1167.2, 730.6
0:14.55, 26.5, 715904, 496612, 2928, 62.5, 1152.1, 730.6
0:15.05, 27.4, 733064, 513508, 2928, 68.8, 1134.5, 730.6
0:15.54, 28.4, 750224, 530932, 2928, 62.5, 1118.0, 730.6
0:16.05, 29.3, 767780, 548356, 2928, 64.7, 1101.7, 730.6
0:16.54, 30.1, 783356, 563932, 2928, 56.2, 1085.5, 730.6
0:17.01, 31.0, 798668, 579244, 2928, 62.5, 1072.6, 730.6
0:17.51, 31.8, 814244, 594820, 2928, 55.6, 1055.1, 730.6
0:17.97, 32.6, 829556, 610132, 2928, 55.6, 1039.7, 730.6
0:18.46, 33.5, 846320, 626764, 2928, 64.7, 1023.5, 730.6
0:18.93, 34.4, 862688, 643132, 2928, 50.0, 1007.8, 730.6
0:19.41, 35.2, 878660, 659236, 2928, 64.7, 991.9, 730.6
0:19.90, 36.1, 894236, 674812, 2928, 76.5, 975.8, 730.6
0:20.37, 36.9, 909152, 689596, 2928, 62.5, 962.2, 730.6
0:20.84, 37.6, 923144, 703588, 2928, 56.2, 948.5, 730.6
0:21.29, 38.3, 936344, 716788, 2928, 56.2, 936.6, 730.6
0:21.80, 39.2, 952184, 732628, 2928, 76.5, 920.4, 730.6
0:22.33, 40.1, 969080, 749788, 2928, 70.6, 903.8, 730.6
0:22.84, 41.0, 986504, 766948, 2928, 64.7, 886.7, 730.6
0:23.32, 41.8, 1001684, 782260, 2928, 66.7, 870.3, 730.6
0:23.81, 42.7, 1017788, 798364, 2928, 70.6, 854.0, 730.6
0:24.29, 43.5, 1034024, 814468, 2928, 64.7, 838.4, 730.6
0:24.77, 44.4, 1050656, 831100, 2928, 70.6, 823.2, 730.6
0:25.26, 45.3, 1067288, 847996, 2928, 64.7, 806.2, 730.6
0:25.78, 46.3, 1085240, 865684, 2928, 68.4, 788.0, 730.6
0:26.25, 47.1, 1101608, 882052, 2928, 62.5, 772.4, 730.6
0:26.74, 48.0, 1118108, 898684, 2928, 62.5, 756.0, 730.6
0:27.24, 49.0, 1135268, 915844, 2928, 61.1, 739.3, 730.6
0:27.72, 49.8, 1151372, 931948, 2928, 64.7, 724.8, 730.6
0:28.21, 50.7, 1168532, 949108, 2928, 66.7, 707.2, 730.6
0:28.71, 51.7, 1185824, 966532, 2928, 68.8, 690.6, 730.6
0:29.24, 52.6, 1203908, 984484, 2928, 68.4, 672.6, 730.6
0:29.78, 53.6, 1222784, 980.0m, 2928, 64.7, 655.2, 730.6
0:30.30, 54.5, 1239812, 996.5m, 2928, 58.8, 638.1, 730.6
0:30.84, 55.5, 1257500, 1.0g, 2928, 66.7, 620.2, 730.6
0:31.32, 56.3, 1273208, 1.0g, 2928, 62.5, 606.0, 730.6
0:31.83, 57.2, 1289840, 1.0g, 2928, 81.2, 591.3, 730.6
0:32.34, 58.1, 1306868, 1.0g, 2928, 66.7, 575.1, 730.6
0:32.92, 59.2, 1326272, 1.1g, 2928, 75.0, 554.7, 730.6
0:33.48, 60.1, 1344620, 1.1g, 2928, 81.2, 534.8, 730.6
0:34.00, 61.1, 1362176, 1.1g, 2928, 58.8, 517.8, 730.6
0:34.49, 61.9, 1378544, 1.1g, 2928, 66.7, 501.8, 730.6
0:34.99, 62.9, 1395176, 1.1g, 2928, 75.0, 486.3, 730.6
0:35.53, 63.8, 1413920, 1.1g, 2928, 70.6, 467.9, 730.6
0:36.05, 64.8, 1431872, 1.2g, 2928, 66.7, 451.2, 730.6
0:36.54, 65.7, 1449164, 1.2g, 2928, 66.7, 433.1, 730.6
0:37.06, 66.7, 1466984, 1.2g, 2928, 70.6, 416.7, 730.6
0:37.57, 67.7, 1485200, 1.2g, 2928, 68.8, 397.9, 730.6
0:38.14, 68.7, 1504604, 1.2g, 2928, 72.2, 380.8, 730.6
0:38.69, 69.7, 1524008, 1.2g, 2928, 75.0, 360.1, 730.6
0:39.24, 70.8, 1543280, 1.3g, 2928, 70.6, 343.9, 730.6
0:39.77, 71.8, 1561892, 1.3g, 2928, 61.1, 324.0, 730.6
0:40.28, 72.7, 1578788, 1.3g, 2928, 64.7, 309.6, 730.6
0:40.79, 73.6, 1595552, 1.3g, 2928, 64.7, 292.1, 730.6
0:41.30, 74.5, 1612712, 1.3g, 2928, 70.6, 271.7, 730.6
0:41.81, 75.4, 1629608, 1.3g, 2928, 70.6, 255.4, 730.6
0:42.27, 76.2, 1645976, 1.4g, 2928, 60.0, 241.4, 730.6
0:42.76, 77.1, 1662872, 1.4g, 2928, 64.7, 224.6, 730.6
0:43.28, 78.1, 1680692, 1.4g, 2928, 70.6, 207.4, 730.6
0:43.76, 79.0, 1697588, 1.4g, 2928, 68.8, 189.6, 730.6
0:44.25, 79.9, 1714088, 1.4g, 2928, 52.9, 174.8, 730.6
0:44.73, 80.8, 1730852, 1.4g, 2928, 60.0, 157.6, 730.6
0:45.21, 81.7, 1747616, 1.5g, 2928, 60.0, 142.4, 730.6
0:45.72, 82.6, 1765172, 1.5g, 2928, 61.1, 123.3, 730.6
0:46.22, 83.6, 1782728, 1.5g, 2928, 68.8, 106.8, 730.6
0:46.71, 84.5, 1799624, 1.5g, 2928, 68.8, 90.0, 730.6
0:47.20, 85.4, 1816784, 1.5g, 2928, 64.7, 74.8, 730.6
0:47.70, 86.3, 1834340, 1.5g, 2928, 58.8, 56.5, 730.6
0:48.30, 87.4, 1855064, 1.6g, 2928, 62.5, 63.7, 728.9
0:48.76, 88.1, 1871168, 1.6g, 2812, 60.0, 74.3, 704.4
0:49.52, 88.3, 1896908, 1.6g, 2684, 76.5, 65.0, 685.9
0:50.07, 88.2, 1915124, 1.6g, 2664, 75.0, 72.3, 674.9
0:50.60, 87.8, 1932548, 1.6g, 2664, 50.0, 70.9, 660.1
0:51.09, 87.8, 1948124, 1.6g, 2664, 58.8, 67.6, 634.3
