Time, mem, Virt, Res, SHR, CPU, free, swap
, , , , , , 1652.1, 730.2
, , , , , , 1659.8, 730.2
, , , , , , 1645.2, 730.2
0:00.08, 0.3, 225392, 5760, 2844, 23.5, 1648.7, 730.2
, , , , , , 1632.1, 730.2
, , , , , , 1632.7, 730.2
, , , , , , 1623.4, 730.2
0:00.39, 0.9, 236216, 16584, 2844, 37.5, 1625.9, 730.2
, , , , , , 1610.4, 730.2
, , , , , , 1609.8, 730.2
, , , , , , 1603.9, 730.2
0:00.70, 1.5, 247172, 27672, 2844, 26.3, 1606.3, 730.2
, , , , , , 1589.3, 730.2
, , , , , , 1588.7, 730.2
, , , , , , 1583.5, 730.2
0:01.02, 2.1, 258392, 38760, 2844, 27.8, 1583.8, 730.2
, , , , , , 1567.2, 730.2
, , , , , , 1566.7, 730.2
, , , , , , 1563.5, 730.2
0:01.33, 2.6, 268952, 49320, 2844, 35.3, 1561.7, 730.2
, , , , , , 1547.7, 730.2
, , , , , , 1548.7, 730.2
, , , , , , 1541.9, 730.2
0:01.65, 3.2, 279776, 60408, 2844, 33.3, 1539.3, 730.2
, , , , , , 1527.3, 730.2
, , , , , , 1527.9, 730.2
, , , , , , 1519.6, 730.2
0:01.98, 3.8, 291392, 72024, 2844, 30.0, 1516.4, 730.2
, , , , , , 1503.3, 730.2
, , , , , , 1503.9, 730.2
, , , , , , 1499.9, 730.2
0:02.28, 4.4, 301952, 82320, 2844, 23.5, 1498.7, 730.2
, , , , , , 1480.6, 730.2
, , , , , , 1486.2, 730.2
, , , , , , 1482.5, 730.2
0:02.59, 5.0, 312512, 92880, 2844, 25.0, 1478.9, 730.2
, , , , , , 1459.9, 730.2
, , , , , , 1460.3, 730.2
, , , , , , 1459.3, 730.2
0:02.89, 5.5, 322940, 103440, 2844, 29.4, 1456.9, 730.2
, , , , , , 1437.4, 730.2
, , , , , , 1438.2, 730.2
, , , , , , 1436.8, 730.2
0:03.22, 6.1, 334292, 114792, 2844, 29.4, 1433.6, 730.2
, , , , , , 1418.7, 730.2
, , , , , , 1414.9, 730.2
, , , , , , 1414.4, 730.2
0:03.53, 6.7, 344984, 125352, 2844, 29.4, 1412.2, 730.2
, , , , , , 1398.1, 730.2
, , , , , , 1396.0, 730.2
, , , , , , 1394.3, 730.2
0:03.86, 7.3, 355940, 136440, 2844, 27.8, 1390.7, 730.2
, , , , , , 1376.2, 730.2
, , , , , , 1375.9, 730.2
, , , , , , 1374.6, 730.2
0:04.17, 7.9, 366500, 147000, 2844, 29.4, 1369.5, 730.2
, , , , , , 1356.1, 730.2
, , , , , , 1357.5, 730.2
, , , , , , 1354.0, 730.2
0:04.48, 8.4, 376664, 157032, 2844, 35.3, 1348.3, 730.2
, , , , , , 1336.6, 730.2
, , , , , , 1337.2, 730.2
, , , , , , 1333.3, 730.2
0:04.80, 9.0, 387620, 168120, 2844, 27.8, 1323.6, 730.2
, , , , , , 1313.5, 730.2
, , , , , , 1311.8, 730.2
, , , , , , 1315.2, 730.2
0:05.12, 9.6, 398972, 179472, 2844, 27.8, 1301.8, 730.2
, , , , , , 1292.8, 730.2
, , , , , , 1292.3, 730.2
, , , , , , 1293.1, 730.2
0:05.43, 10.2, 409928, 190296, 2844, 35.3, 1281.0, 730.2
, , , , , , 1271.7, 730.2
, , , , , , 1270.7, 730.2
, , , , , , 1273.2, 730.2
0:05.75, 10.7, 420224, 200592, 2844, 31.6, 1259.7, 730.2
, , , , , , 1252.0, 730.2
, , , , , , 1251.2, 730.2
, , , , , , 1250.6, 730.2
0:06.05, 11.3, 430652, 211152, 2844, 30.0, 1239.7, 730.2
, , , , , , 1231.1, 730.2
, , , , , , 1232.1, 730.2
, , , , , , 1232.6, 730.2
0:06.35, 11.8, 440288, 220656, 2844, 29.4, 1220.9, 730.2
, , , , , , 1214.0, 730.2
, , , , , , 1214.5, 730.2
, , , , , , 1212.7, 730.2
0:06.67, 12.4, 450716, 231216, 2844, 33.3, 1203.7, 730.2
, , , , , , 1193.8, 730.2
, , , , , , 1193.8, 730.2
, , , , , , 1193.7, 730.2
0:06.98, 12.9, 460748, 241248, 2844, 29.4, 1183.1, 730.2
, , , , , , 1177.4, 730.2
, , , , , , 1174.3, 730.2
, , , , , , 1174.6, 730.2
0:07.31, 13.4, 471044, 251544, 2844, 31.6, 1163.5, 730.2
, , , , , , 1156.5, 730.2
, , , , , , 1156.3, 730.2
, , , , , , 1153.3, 730.2
0:07.63, 14.0, 481868, 262368, 2844, 27.8, 1142.3, 730.2
, , , , , , 1136.0, 730.2
, , , , , , 1136.2, 730.2
, , , , , , 1135.4, 730.2
0:07.95, 14.6, 492296, 272664, 2844, 31.2, 1121.3, 730.2
, , , , , , 1117.6, 730.2
, , , , , , 1115.7, 730.2
, , , , , , 1116.4, 730.2
0:08.27, 15.1, 502856, 283224, 2844, 29.4, 1100.0, 730.2
, , , , , , 1098.3, 730.2
