Time, MEM, Virt, Res, SHR, CPU, free, swap
0:00.14, 0.4, 227372, 7852, 2824, 46.7, 1408.4, 820.0
0:00.68, 1.4, 245588, 26068, 2824, 44.4, 1372.8, 820.0
0:01.11, 2.2, 259844, 40324, 2824, 46.7, 1345.8, 820.0
0:01.54, 2.9, 274628, 55108, 2824, 43.8, 1316.4, 820.0
0:01.97, 3.7, 289280, 69892, 2824, 50.0, 1289.6, 820.0
0:02.40, 4.5, 303800, 84412, 2824, 52.9, 1260.7, 820.0
0:02.80, 5.3, 317924, 98404, 2824, 43.8, 1233.8, 820.0
0:03.22, 6.0, 332048, 112396, 2824, 42.1, 1206.2, 820.0
0:03.64, 6.8, 345908, 126388, 2824, 38.9, 1180.0, 820.0
0:04.05, 7.5, 359768, 140380, 2824, 50.0, 1152.3, 820.0
0:04.46, 8.2, 373100, 153580, 2824, 50.0, 1126.1, 820.0
0:04.87, 8.9, 386696, 167308, 2824, 50.0, 1098.7, 820.0
0:05.29, 9.7, 400952, 181300, 2824, 56.2, 1073.2, 820.0
0:05.70, 10.4, 414812, 195292, 2824, 47.1, 1045.9, 820.0
0:06.12, 11.2, 428276, 208756, 2824, 47.1, 1020.0, 820.0
0:06.53, 11.9, 442532, 223012, 2824, 46.7, 991.8, 820.0
0:06.96, 12.7, 456788, 237268, 2824, 50.0, 963.3, 820.0
0:07.39, 13.4, 470912, 251260, 2824, 40.0, 935.6, 820.0
0:07.84, 14.2, 485168, 265516, 2824, 52.9, 908.6, 820.0
0:08.26, 14.9, 498896, 279244, 2824, 47.1, 881.0, 820.0
0:08.69, 15.7, 513284, 293764, 2824, 47.1, 852.3, 820.0
0:09.12, 16.5, 527540, 308020, 2824, 50.0, 823.7, 820.0
0:09.56, 17.3, 542588, 323068, 2824, 44.4, 794.8, 820.0
0:09.99, 18.1, 557372, 337852, 2824, 44.4, 766.9, 820.0
0:10.43, 18.8, 572156, 352636, 2824, 50.0, 737.9, 820.0
0:10.85, 19.6, 586148, 366628, 2824, 52.9, 710.2, 820.0
0:11.29, 20.4, 600536, 381148, 2824, 52.9, 682.3, 820.0
0:11.71, 21.1, 614528, 395140, 2824, 43.8, 654.2, 820.0
0:12.12, 21.8, 627860, 408340, 2824, 50.0, 628.2, 820.0
0:12.52, 22.6, 641588, 422068, 2824, 44.4, 600.5, 820.0
0:12.93, 23.3, 655184, 435532, 2824, 46.7, 573.4, 820.0
0:13.35, 24.0, 669176, 449788, 2824, 43.8, 546.6, 820.0
0:13.79, 24.8, 683432, 463780, 2824, 43.8, 517.9, 820.0
0:14.23, 25.6, 697688, 478036, 2824, 47.1, 490.2, 820.0
0:14.65, 26.3, 711944, 492292, 2824, 47.1, 462.4, 820.0
0:15.07, 27.0, 725408, 505756, 2824, 56.2, 435.4, 820.0
0:15.50, 27.8, 739004, 519484, 2824, 50.0, 408.7, 820.0
0:15.93, 28.5, 752732, 533212, 2824, 52.9, 382.5, 820.0
0:16.35, 29.3, 766856, 547468, 2824, 46.7, 355.3, 820.0
0:16.77, 30.0, 780584, 560932, 2824, 50.0, 327.6, 820.0
0:17.21, 30.7, 794840, 575188, 2824, 44.4, 300.5, 820.0
0:17.64, 31.5, 809228, 589708, 2824, 42.1, 272.5, 820.0
0:18.07, 32.3, 823352, 603700, 2824, 56.2, 243.9, 820.0
0:18.50, 33.0, 837344, 617956, 2824, 50.0, 215.6, 820.0
0:18.92, 33.8, 851600, 631948, 2824, 46.7, 187.6, 820.0
0:19.36, 34.5, 865724, 646204, 2824, 52.9, 159.6, 820.0
0:19.79, 35.3, 879848, 660460, 2824, 47.1, 131.5, 820.0
0:20.23, 36.0, 893840, 674188, 2824, 47.1, 104.0, 820.0
0:20.65, 36.8, 907832, 688180, 2824, 50.0, 77.0, 820.0
0:21.05, 37.5, 921164, 701616, 2796, 47.1, 80.8, 819.2
0:21.53, 38.4, 937928, 718248, 2796, 41.2, 69.8, 817.7
0:21.98, 39.2, 952712, 733032, 2796, 43.8, 75.3, 814.7
0:22.41, 39.9, 966440, 747024, 2796, 47.1, 73.2, 811.5
0:22.82, 40.6, 979904, 760488, 2796, 47.1, 72.9, 808.2
0:23.25, 41.5, 995084, 775532, 2792, 43.8, 73.6, 804.2
0:24.03, 42.8, 1021088, 800284, 2476, 43.5, 73.5, 708.5
0:26.80, 44.2, 1113620, 826188, 1180, 50.0, 76.2, 585.5
0:27.28, 44.1, 1129856, 824992, 1180, 47.1, 79.4, 558.5
0:27.71, 44.1, 1144376, 825356, 1180, 38.9, 72.4, 535.2
0:28.13, 43.9, 1158236, 821264, 1180, 37.5, 62.5, 501.0
0:28.60, 44.0, 1174208, 823232, 1180, 38.9, 65.2, 464.2
0:29.08, 44.0, 1190048, 823212, 1180, 52.9, 66.3, 444.0
0:29.49, 43.8, 1203908, 819664, 1180, 38.9, 66.6, 417.2
0:29.93, 44.2, 1218560, 826372, 1180, 47.1, 73.0, 389.7
0:30.35, 44.1, 1232552, 824400, 1180, 41.2, 74.1, 366.0
0:30.80, 44.1, 1246544, 825420, 1180, 46.7, 70.5, 346.5
0:31.26, 44.2, 1261196, 826272, 1180, 46.7, 66.8, 305.7
0:31.70, 44.0, 1275056, 823808, 1180, 43.8, 70.0, 284.7
0:32.19, 44.2, 1290764, 827628, 1180, 52.9, 70.1, 249.2
0:32.60, 44.2, 1304888, 826216, 1180, 44.4, 70.4, 232.5
0:33.04, 44.4, 1318748, 830800, 1180, 53.3, 68.7, 190.7
0:33.52, 44.2, 1334456, 827724, 1180, 53.3, 63.4, 146.2
0:33.97, 44.1, 1349636, 825620, 1180, 43.8, 73.7, 132.7
0:34.39, 44.4, 1363496, 830364, 1180, 43.8, 83.2, 97.7
0:34.82, 44.3, 1378016, 829632, 1180, 50.0, 71.7, 80.0
0:35.25, 44.2, 1392536, 827088, 1180, 44.4, 61.5, 41.5
0:35.92, 44.2, 1414712, 827540, 1180, 47.1, 71.6, 5.7
0:36.35, 44.4, 1428176, 829972, 1180, 43.8, 826.3, 360.7
, , , , , , 792.2, 360.9
, , , , , , 769.9, 360.9
, , , , , , 749.4, 360.9
, , , , , , 727.7, 360.9
, , , , , , 706.9, 360.9
, , , , , , 685.0, 360.9
, , , , , , 660.4, 360.9
, , , , , , 636.9, 360.9
, , , , , , 613.1, 360.9
, , , , , , 589.1, 360.9
, , , , , , 565.0, 360.9
, , , , , , 541.6, 360.9
, , , , , , 519.5, 360.9
, , , , , , 495.3, 360.9
, , , , , , 471.2, 360.9
, , , , , , 447.1, 360.9
, , , , , , 422.3, 360.9
, , , , , , 400.0, 360.9
, , , , , , 378.2, 360.9
, , , , , , 355.6, 360.9
, , , , , , 332.2, 360.9
, , , , , , 308.3, 360.9
, , , , , , 284.7, 360.9
, , , , , , 261.1, 360.9
, , , , , , 238.0, 360.9
, , , , , , 213.9, 360.9
, , , , , , 189.9, 360.9
, , , , , , 166.6, 360.9
, , , , , , 143.3, 360.9
, , , , , , 120.6, 360.9
, , , , , , 99.0, 360.9
, , , , , , 74.7, 361.2
, , , , , , 76.3, 322.3
, , , , , , 66.9, 314.3
, , , , , , 64.1, 284.9
, , , , , , 63.1, 254.1
, , , , , , 66.8, 245.4
, , , , , , 74.6, 222.5
, , , , , , 67.0, 205.9
, , , , , , 72.4, 187.9
, , , , , , 69.8, 167.0
, , , , , , 69.5, 148.1
, , , , , , 65.8, 109.3
, , , , , , 69.0, 91.9
, , , , , , 78.5, 60.8
, , , , , , 62.7, 45.9
, , , , , , 63.5, 9.2
, , , , , , 69.1, 0.0
, , , , , , 1676.8, 734.2
, , , , , , 1676.9, 734.2
, , , , , , 1676.1, 734.2
, , , , , , 1676.0, 734.2
, , , , , , 1676.1, 734.2
, , , , , , 1676.1, 734.2
, , , , , , 1676.5, 734.2
, , , , , , 1676.2, 734.2
, , , , , , 1676.8, 734.2
, , , , , , 1676.1, 734.2
, , , , , , 1676.0, 734.2
, , , , , , 1676.5, 734.2
, , , , , , 1676.2, 734.2
, , , , , , 1676.2, 734.2
, , , , , , 1676.0, 734.2
, , , , , , 1675.2, 734.4
, , , , , , 1675.8, 734.4
, , , , , , 1675.9, 734.4
, , , , , , 1676.9, 734.4
